IID,WOLF DNA,HETEROZYGOTE SNPs,COMPLETE SNP CELLS,RELATIVE FST
zm15623,0.2445,23,62,0.370967742
zt299,0.2458,16,61,0.262295082
zm13514,0.2465,17,59,0.288135593
zt394,0.2465,28,63,0.444444444
zt451,0.2465,22,63,0.349206349
zm15977,0.2466,14,60,0.233333333
zt389,0.2473,32,61,0.524590164
zm15541,0.2474,23,62,0.370967742
zt380,0.2475,24,63,0.380952381
zm15621,0.2481,29,61,0.475409836
zm15536,0.2483,22,63,0.349206349
zt446,0.2486,30,62,0.483870968
zt462,0.2486,19,63,0.301587302
zm15583,0.249,20,63,0.317460317
zt605,0.2494,12,62,0.193548387
zt228,0.2495,23,62,0.370967742
zm15285,0.2496,31,63,0.492063492
zm15586,0.2496,26,63,0.412698413
zt341,0.2499,28,63,0.444444444
zt653,0.2502,17,56,0.303571429
zm15629,0.2504,19,63,0.301587302
zm15131,0.251,14,52,0.269230769
zt410,0.2512,15,63,0.238095238
zm15884,0.2513,26,63,0.412698413
zt602,0.252,17,59,0.288135593
zm15194,0.2521,21,63,0.333333333
zt402,0.2521,21,63,0.333333333
zt13,0.2524,29,62,0.467741935
zt210,0.2529,28,62,0.451612903
zm15691,0.2532,17,61,0.278688525
zm15287,0.2543,8,56,0.142857143
zm15711,0.2544,22,61,0.360655738
zm15715,0.2545,23,60,0.383333333
mcz63343,0.2551,32,62,0.516129032
zt382,0.2555,24,63,0.380952381
zt697,0.2556,24,63,0.380952381
zt232,0.2563,27,63,0.428571429
zt182,0.2566,18,56,0.321428571
zm15305,0.2567,24,63,0.380952381
zt238,0.2567,33,62,0.532258065
zm15537,0.2571,17,62,0.274193548
zt254,0.2572,26,59,0.440677966
zt456,0.2583,22,63,0.349206349
ztpb2,0.2585,30,63,0.476190476
zt476,0.2586,27,61,0.442622951
zm15077,0.2592,27,62,0.435483871
zm14701,0.2595,25,63,0.396825397
zt306,0.2595,20,62,0.322580645
zt482,0.2597,18,60,0.3
zm15689,0.2599,29,63,0.46031746
zm15584,0.2602,20,59,0.338983051
zm14674,0.2607,28,63,0.444444444
adk439,0.2612,24,63,0.380952381
zt171,0.2613,22,61,0.360655738
zt692,0.262,30,60,0.5
zm15624,0.2623,29,61,0.475409836
zt175,0.2632,20,58,0.344827586
zt465,0.2634,27,62,0.435483871
zt469,0.2635,23,60,0.383333333
zm15197,0.2641,27,63,0.428571429
zm14704,0.2652,27,60,0.45
zt400,0.2653,24,63,0.380952381
zt268,0.2659,17,53,0.320754717
zm15589,0.2663,27,63,0.428571429
zm15614,0.2668,19,52,0.365384615
zm15135,0.2673,22,60,0.366666667
zm15145,0.2674,21,57,0.368421053
zm14595,0.2685,25,62,0.403225806
zt468,0.2685,23,63,0.365079365
zm14700,0.2701,24,63,0.380952381
zt388,0.2701,22,63,0.349206349
zt318,0.2702,19,62,0.306451613
zm14807,0.2704,23,63,0.365079365
zt221,0.271,26,63,0.412698413
zt679,0.271,14,53,0.264150943
zt290,0.2717,22,60,0.366666667
zt360,0.2717,32,60,0.533333333
zt240,0.2725,25,63,0.396825397
zm15585,0.2731,19,49,0.387755102
zt2,0.2742,24,60,0.4
zm15142,0.2748,20,54,0.37037037
zt362,0.2748,24,63,0.380952381
zt293,0.2752,18,62,0.290322581
zt395,0.2752,27,63,0.428571429
zt253,0.2753,20,63,0.317460317
zt334,0.2753,29,63,0.46031746
zt302,0.2757,27,63,0.428571429
zt637,0.276,16,52,0.307692308
zm15979,0.2766,21,56,0.375
zt403,0.277,31,63,0.492063492
zm15286,0.2774,18,51,0.352941176
zt604,0.2775,28,63,0.444444444
zt300,0.2781,16,53,0.301886792
zt607,0.2781,23,62,0.370967742
zt492,0.2786,5,34,0.147058824
zt194,0.2789,27,60,0.45
zt638,0.2796,25,58,0.431034483
zt657,0.2796,16,61,0.262295082
zm15661,0.2801,23,56,0.410714286
zt472,0.2802,23,61,0.37704918
zt325,0.2805,13,58,0.224137931
adk2833,0.2813,29,62,0.467741935
zm13657,0.2819,17,45,0.377777778
zt390,0.2826,19,63,0.301587302
zm15688,0.283,26,61,0.426229508
zt220,0.2833,26,63,0.412698413
zt646,0.2834,30,57,0.526315789
zt636,0.2835,17,54,0.314814815
zm15952,0.2837,25,56,0.446428571
zt11,0.2837,21,60,0.35
zt460,0.2838,32,62,0.516129032
zt676,0.284,24,61,0.393442623
zm15628,0.2841,31,63,0.492063492
zm15374,0.2847,25,62,0.403225806
zt450,0.2855,27,62,0.435483871
zm15619,0.2859,14,53,0.264150943
zt40,0.2861,23,63,0.365079365
zt414,0.2863,24,63,0.380952381
zm15724,0.2866,11,45,0.244444444
zt242,0.2869,30,60,0.5
adk597,0.2877,22,62,0.35483871
zm15311,0.2877,21,61,0.344262295
zm14820,0.2885,26,63,0.412698413
zm15951,0.2885,21,62,0.338709677
zm14817,0.2887,26,63,0.412698413
zt630,0.2889,17,60,0.283333333
adk2845,0.2896,27,63,0.428571429
zm15626,0.2898,26,59,0.440677966
zt192,0.2902,20,58,0.344827586
zt280,0.2912,26,62,0.419354839
zt693,0.2912,24,58,0.413793103
mcz63140,0.2914,15,49,0.306122449
mcz63683,0.2915,21,55,0.381818182
zt12,0.2915,22,63,0.349206349
zm13499,0.2917,20,61,0.327868852
zm14801,0.2925,23,62,0.370967742
zm15978,0.2926,11,43,0.255813953
zt699,0.2933,26,62,0.419354839
zt455,0.2934,21,63,0.333333333
zm15980,0.2937,25,61,0.409836066
adk2801,0.2939,25,55,0.454545455
zt412,0.2941,19,62,0.306451613
zt1,0.2941,24,61,0.393442623
zt691,0.2962,19,59,0.322033898
zt387,0.2972,32,63,0.507936508
zm14706,0.299,13,62,0.209677419
zt7,0.299,25,63,0.396825397
zm15144,0.2993,23,55,0.418181818
zt338,0.2993,14,62,0.225806452
zt396,0.2999,28,62,0.451612903
zt43,0.3,21,61,0.344262295
zt671,0.3,30,58,0.517241379
zt246,0.3008,24,62,0.387096774
zt475,0.301,22,63,0.349206349
zm15292,0.3013,29,61,0.475409836
zm15721,0.3015,26,59,0.440677966
zm15172,0.302,23,61,0.37704918
zm15590,0.3025,21,59,0.355932203
zt610,0.3029,25,62,0.403225806
zm15512,0.3041,31,63,0.492063492
zm15620,0.3043,24,62,0.387096774
zt227,0.3058,29,63,0.46031746
